Frank Dai;soulmachine;Mountain View, CA
Carlos Toxtli;toxtli;United States , Mexico, Canada
Jon Schlinkert;jonschlinkert;Cincinnati, OH
Yanyi Wu;yanyiwu;Beijing,China
Peter Todd;petertodd;Toronto
Eric Zhang;qinix;Beijing, China
Jan Xie;janx;Hangzhou, China
Arnold Daniels;jasny;Amsterdam
KD Chang;kdchang;Taiwan, Taipei
Dominik Schiener;domschiener;Berlin, Germany
Alexandre Nicastro;AlexxNica;Unknown
W;Pana;Beijing, China
aelf;aelfio;Unknown
Liu-Cheng Xu;liuchengxu;Hangzhou, China
jollen chen;jollen;Taipei
Raghav Dua;duaraghav8;Unknown
Brian Woodward;doowb;Cincinnati, OH
Fabian Schuh;xeroc;Germany
Paulo Pires;paulohp;Belo Horizonte, Brasil
Richard Moore;ricmoo;Toronto, Canada
Theodore Dziuba;teddziuba;Placerville, CA
Karl Floersch;karlfloersch;Unknown
U-Zyn Chua;uzyn;Singapore
Snuggs;snuggs;On the Blockchain
Ramesh Nair;hiddentao;Earth
Harsh Vakharia;harshjv;Bengaluru
Adam M. Swanda;deadbits;D.C. Metro Area
Todsaporn Banjerdkit;katopz;Bangkok, Thailand
Ivan Kuznetsov;Jeiwan;Chiang Mai, Thailand
Sergej Müller;sergejmueller;Hamburg, Germany
Patrick Connolly;patcon;Waffles
Harry Moreno;morenoh149;New York, NY
Neblio Team;NeblioTeam;Unknown
Nguyen Sy Thanh Son;thanhson1085;Hanoi, Vietnam
Alexis Creuzot;kirualex;Rennes, France
Bob Lee;bleecoin;Seoul, NY
Francesco 'makevoid' Canessa;makevoid;London, UK
Will Binns;wbnns;Unknown
Victor Farazdagi;farazdagi;Unknown
Rando;5chdn;Unknown
Andrei;deiu;Paris, FR
Gabo Esquivel;gaboesquivel;Planet Earth
Gary Rowe;gary-rowe;UK
Jacob Gadikian;faddat;Unknown
Martin Barreto;mtnbarreto;Uruguay
Kristov Atlas;kristovatlas;United States
Pratyush Singh;singhpratyush;Gandhinagar, Gujarat, India
Jose Aguinaga;jjperezaguinaga;Europe
beenhero;beenhero;Hangzhou, China
Eduardo Nunes Pereira;eduardonunesp;Brazil / Curitiba
Phoenix;todofixthis;Auckland, New Zealand
James Florentino;jamesflorentino;Pasig, Philippines
Andy Chen;amazingandyyy;Bay Area
Shayan Eskandari;shayanb;Montreal, QC
Javed Khan;tuxcanfly;Hyperspace
Eric Liang;ericliang;Unknown
Daxeel Soni;daxeel;Ahmedabad, India
Igor Artamonov;splix;Unknown
Gwendolyn Faraday;gwenf;Indianapolis, IN
Weilun Xiong;Azard;Shanghai, China
Alessio Delmonti;Alexintosh;Amsterdam
Mamy Ratsimbazafy;mratsim;Paris
Francesco Soncina;phra;Amsterdam, NL
Sandeep Raju Prabhakar;sandeepraju;Silicon Valley, CA
Portia Burton;pkafei;Unknown
Kenny Meyer;kennym;Paraguay
steve withington;stevewithington;milwaukee, wi usa
Daniel Kmak;Kuzirashi;Cracow, Poland
Zach;zramsay;Guelph, ON
Mark Vayngrib;mvayngrib;New York and London
Badr bellaj;bellaj;Morocco
Dieter Shirley;dete;Vancouver, Canada
Isabella Dell;Isabello;Unknown
brad oyler;bradoyler;Philadelphia
Rebellious (REBL);RebelliousToken;Amsterdam
Hugo;hugo-dc;Guadalajara, Mexico
Davide Gessa;dakk;Sardegna
Valery Litvin;litvintech;cyber·Space
Doug Petkanics;dob;New York, NY
Oleg Akbarov;olegakbarov;Moscow
Nguyen Tien Si;mrsinguyen;Ho Chi Minh, Vietnam
Boris Mann;bmann;Vancouver, BC, Canada
Charles Jolley;charlesjolley;San Francisco, CA
Victor Baybekov;buybackoff;Internet
Hyojun Kim;therne;Seoul, Korea
Dan Hassan;dan-mi-sun;Melbourne (AUS), London (UK), Berlin (DE)
LowesYang;yyh1102;HangZhou,ZheJiang,China
Boris Povod;borispovod;Russia, Saint-Petersburg
Adam Buran;aburan28;Mountain View
Ayman Nedjmeddine;IOAyman;Algeria
Oliver Kiessler;okiess;Cologne, Germany
Deepak Karki;deepakkarki;Bangalore, India
ChanY;yoooong;GuangZhou  China
Ming-der Wang;mingderwang;Taipei, Taiwan
Narayan Prusty;narayanprusty;Dubai
Quinten De Swaef;Qkyrie;Belgium
Laszlo Levente Mári;laszlolm;Munich, Germany
Glenn Rempe;grempe;San Francisco, CA
zscorpio;zscorpio;Hangzhou
Andrew Dryga;AndrewDryga;Kiev, Ukraine
Kwame Bryan;KBryan;Toronto, Canada
Monty Anderson;montyanderson;Brighton, UK
Dirk Jäckel;biafra23;Berlin, Germany
Stephan Tual;stephantual;London, UK
Kristijan Sedlak;xpepermint;CA, United States
Nikhil Mohan;niksmac;Trivandrum, India
Diego Araos;daraosn;Planet Earth
Zulhilmi Zainudin;zulhfreelancer;Malaysia
Cun Yang;backslash112;United States
Leopold Joy;leopoldjoy;New York City
Shane Vitarana;shanev;New York City
Cory Flanigan;seeflanigan;Denver, CO
Taariq Lewis;taariq;San Francisco
Trent McConaghy;trentmc;Berlin, Germany
Daniel Ellison;zigguratt;Toronto, Canada
Achim Friedland;ahzf;Jena, Germany
Jikku Jose;JikkuJose;Trivandrum, India
Yevhen Kuzminov;iJackUA;Kharkiv, Ukraine
Steve Rodrigue;steve-rodrigue;Montreal
Trevor Uptain;trevoruptain;San Francisco, CA
Kevin Brown;blargity;Sydney, Australia
Guillaume Verbal;Doweig;Beijing, China
Kim (Hamilton) Duffy;kimdhamilton;Seattle, WA
Translator;BlockchainTranslator;Unknown
Jake Sorce;jakesorce;Bluffdale, Utah
Eyyüb Sari;Eyyub;France
John Shutt;pemulis;San Francisco, CA
Unknown;seqs;Beijing China
Vitaly Bezgachv;Vetal1977;Berlin, Germany
Philip Welber;prwelber;New York
verifier;verifier1;moscow
Palash Nigam;palash25;zsh
Alberto Gomez Toribio;gotoalberto;Madrid, Spain
Ory Band;oryband;Tel-Aviv, Israel
David Andersen;davidx;San Francisco, California
Julia Vishnevsky;juliavi;Unknown
Hiran Dogra;hirandogra;New Delhi
Skiral Inc.;skiral;California
PyWaves;PyWaves;Unknown
Michael Wuehler;wuehler;New York City
WΞB3;nicovalencia;Boulder, CO
Joran Kikke;dangerousbeans;New Zealand
Unknown;hustnn;Singapore
Antony Jones;antony;London, UK
Tomisin;ToJen;NL, Canada
Han Hua;hhua;Bay Area
Kaloyan Raev;kaloyan-raev;Sofia, Bulgaria
Marek Kirejczyk;marekkirejczyk;Warsaw
Austin Witherow;awitherow;Decentraland
Guru Prasath;aprasadh;Hyderabad, India
Skylar Young;OstlerDev;San Diego, California
Tom Bradshaw (presstab);presstab;Unknown
Anton Egorov;satyrius;Tallinn, Estonia
Alexander Wunschik;mojoaxel;Fürth, Germany
Anthony Vipond;thewinterwind;Vancouver, BC
Nikhil Singh;nikhilmufc7;Pune, India
César Rodríguez;kesar;0x0
Devon Gundry;devongundry;San Francisco, CA
Jan Szumiec;jasiek;London, United Kingdom
Sérgio Flores;Relfos;Portugal
Hector Garcia;nabucosound;Unknown
Stuart Farmer;StuartFarmer;San Francisco, CA
Drizzentic;drizzentic;Kenya
Ivan Turkovic;Thorsson;"San Francisco, CA; London, UK; Sao paulo, BR"
Akshit Ahluwalia;akshitahluwalia;New Delhi
Mai-Hsuan(Kevin) Chia;mhchia;Taipei, Taiwan
Shivank Shekhar;GeekyShiva;Rajasthan
James Morgan;jamesmorgan;UK - Manchester
Zack Soliman;zacksoliman;Montreal, Canada
Amy Bui;amygbui;Unknown
FUSIONFoundation;FUSIONFoundation;Singapore
Hyunwoo Kim;Kcrong;Seoul
Francisco Muñoz;IFFranciscoME;guadalajara
Martin Olveyra;kalessin;Ciudad de la Costa, Uruguay
Markus Klems;markusklems;Germany
Julien Bouteloup;bneiluj;United Kingdom
Braden Glasgow;bglassy;La Fortuna, Costa Rica
Wagner Nicolas;n1c01a5;nomad
Filip Bielejec;fbielejec;Belgium
Dan Gershony;dangershony;London UK
